"Year","Funding_Source","Experiment","location","ID","Trt_code","Treatment","Dry_seedheads(g)","plot.yield.g","yield.kgperha","Seedhead_in_bag(g)","bag_tare(g)","Date Measured","Lodging","Height_1","Height_2","Height_3","Height_4","Height_5","Napplied","Ntiming","stand.age","Block"
"2019",NA,"N rate timing","RSMT V17",101,"4","control",87.7,39,786.7,NA,NA,2019-08-22,0,164,179,167,157,170,"0","control","1","1"
"2019",NA,"N rate timing","RSMT V17",102,"1","80 Fall",106.8,39.8,802.8,NA,NA,2019-08-22,1,166,167,172,142,160,"80","Fall","1","1"
"2019",NA,"N rate timing","RSMT V17",103,"3","80 Spring",136.1,41.4,835.1,NA,NA,2019-08-22,1,160,165,159,148,159,"80","Spring","1","1"
"2019",NA,"N rate timing","RSMT V17",104,"2","80 Split",90.7,22.2,447.8,NA,NA,2019-08-22,0,169,163,143,172,152,"80","Split","1","1"
"2019",NA,"N rate timing","RSMT V17",201,"3","80 Spring",70.3,25.2,508.3,NA,NA,2019-08-22,0,179,174,161,175,176,"80","Spring","1","2"
"2019",NA,"N rate timing","RSMT V17",202,"2","80 Split",115.4,43.4,875.5,NA,NA,2019-08-22,1,168,167,148,163,156,"80","Split","1","2"
"2019",NA,"N rate timing","RSMT V17",203,"4","control",83.7,35.8,722.2,NA,NA,2019-08-22,0,166,180,179,174,179,"0","control","1","2"
"2019",NA,"N rate timing","RSMT V17",204,"1","80 Fall",116.8,31.8,641.5,NA,NA,2019-08-22,0,172,151,163,168,167,"80","Fall","1","2"
"2019",NA,"N rate timing","RSMT V17",301,"4","control",54.9,21.8,439.7,NA,NA,2019-08-22,0,165,160,151,168,169,"0","control","1","3"
"2019",NA,"N rate timing","RSMT V17",302,"1","80 Fall",105.2,39.4,794.8,NA,NA,2019-08-22,0,164,162,179,161,154,"80","Fall","1","3"
"2019",NA,"N rate timing","RSMT V17",303,"3","80 Spring",85.9,30.8,621.3,NA,NA,2019-08-22,0,163,174,152,163,180,"80","Spring","1","3"
"2019",NA,"N rate timing","RSMT V17",304,"2","80 Split",128.3,34.6,698,NA,NA,2019-08-22,1,152,162,185,160,164,"80","Split","1","3"
"2019",NA,"N rate timing","RSMT V17",401,"1","80 Fall",76.1,32.2,649.5,NA,NA,2019-08-22,1,163,136,140,168,130,"80","Fall","1","4"
"2019",NA,"N rate timing","RSMT V17",402,"4","control",52.7,28.6,576.9,NA,NA,2019-08-22,1,165,171,135,160,131,"0","control","1","4"
"2019",NA,"N rate timing","RSMT V17",403,"3","80 Spring",105.6,35,706,NA,NA,2019-08-22,0,166,159,162,147,161,"80","Spring","1","4"
"2019",NA,"N rate timing","RSMT V17",404,"2","80 Split",149,42.8,863.4,NA,NA,2019-08-22,1,148,145,160,152,149,"80","Split","1","4"
"2020",NA,"N rate timing","RSMT V17",101,"4","control",173.4,48.9,NA,235.1,61.7,NA,2,148,136,166,171,166,"0","control","2","1"
"2020",NA,"N rate timing","RSMT V17",102,"1","80 Fall",220,51.1,1031,281.6,61.6,NA,2,154,156,144,165,153,"80","Fall","2","1"
"2020",NA,"N rate timing","RSMT V17",103,"3","80 Spring",182.2,52.2,1053,243.7,61.5,NA,2,165,166,155,147,160,"80","Spring","2","1"
"2020",NA,"N rate timing","RSMT V17",104,"2","80 Split",238.4,66,1331,300.1,61.7,NA,3,157,162,174,170,152,"80","Split","2","1"
"2020",NA,"N rate timing","RSMT V17",201,"3","80 Spring",184.2,53.1,1071,245.9,61.7,NA,3,177,152,156,153,161,"80","Spring","2","2"
"2020",NA,"N rate timing","RSMT V17",202,"2","80 Split",173.7,45.5,917.8,235.5,61.8,NA,2,155,152,155,159,160,"80","Split","2","2"
"2020",NA,"N rate timing","RSMT V17",203,"4","control",111.1,39.3,792.8,173.3,62.2,NA,1,152,136,137,170,150,"0","control","2","2"
"2020",NA,"N rate timing","RSMT V17",204,"1","80 Fall",165.2,40.1,808.9,227.2,62,NA,3,167,141,165,169,163,"80","Fall","2","2"
"2020",NA,"N rate timing","RSMT V17",301,"4","control",99.3,33.7,679.8,161.3,62,NA,1,145,152,161,146,137,"0","control","2","3"
"2020",NA,"N rate timing","RSMT V17",302,"1","80 Fall",199.2,64.2,1295,261,61.8,NA,3,182,148,131,178,160,"80","Fall","2","3"
"2020",NA,"N rate timing","RSMT V17",303,"3","80 Spring",121.5,36.6,738.3,183.7,62.2,NA,2,156,135,153,158,146,"80","Spring","2","3"
"2020",NA,"N rate timing","RSMT V17",304,"2","80 Split",140.8,37.9,764.5,203,62.2,NA,2,169,158,157,154,152,"80","Split","2","3"
"2020",NA,"N rate timing","RSMT V17",401,"1","80 Fall",174.9,52.2,1053,237.2,62.3,NA,3,169,142,165,141,165,"80","Fall","2","4"
"2020",NA,"N rate timing","RSMT V17",402,"4","control",100,37.2,750.4,162.5,62.5,NA,2,132,140,142,157,147,"0","control","2","4"
"2020",NA,"N rate timing","RSMT V17",403,"3","80 Spring",127.2,50.4,1017,189.7,62.5,NA,0,145,136,133,140,160,"80","Spring","2","4"
"2020",NA,"N rate timing","RSMT V17",404,"2","80 Split",151.8,50,1009,215.7,63.9,NA,3,154,155,140,169,148,"80","Split","2","4"
"2021",NA,"N rate timing","RSMT V17",101,"4","control",18.5,6.8,137.2,77.3,58.8,NA,NA,NA,NA,NA,NA,NA,"0","control","3","1"
"2021",NA,"N rate timing","RSMT V17",102,"1","80 Fall",41.4,14.1,284.4,100.2,58.8,NA,NA,NA,NA,NA,NA,NA,"80","Fall","3","1"
"2021",NA,"N rate timing","RSMT V17",103,"3","80 Spring",57.7,17.9,361.1,116.5,58.8,NA,NA,NA,NA,NA,NA,NA,"80","Spring","3","1"
"2021",NA,"N rate timing","RSMT V17",104,"2","80 Split",60,13.4,270.3,118.8,58.8,NA,NA,NA,NA,NA,NA,NA,"80","Split","3","1"
"2021",NA,"N rate timing","RSMT V17",201,"3","80 Spring",46.9,17.4,351,105.7,58.8,NA,NA,NA,NA,NA,NA,NA,"80","Spring","3","2"
"2021",NA,"N rate timing","RSMT V17",202,"2","80 Split",47,19,383.3,105.8,58.8,NA,NA,NA,NA,NA,NA,NA,"80","Split","3","2"
"2021",NA,"N rate timing","RSMT V17",203,"4","control",21.8,10.2,205.8,80.6,58.8,NA,NA,NA,NA,NA,NA,NA,"0","control","3","2"
"2021",NA,"N rate timing","RSMT V17",204,"1","80 Fall",35.5,21.6,435.7,94.3,58.8,NA,NA,NA,NA,NA,NA,NA,"80","Fall","3","2"
"2021",NA,"N rate timing","RSMT V17",301,"4","control",28.6,7.6,153.3,87.4,58.8,NA,NA,NA,NA,NA,NA,NA,"0","control","3","3"
"2021",NA,"N rate timing","RSMT V17",302,"1","80 Fall",78.5,30.2,609.2,137.3,58.8,NA,NA,NA,NA,NA,NA,NA,"80","Fall","3","3"
"2021",NA,"N rate timing","RSMT V17",303,"3","80 Spring",56.6,23.3,470,115.4,58.8,NA,NA,NA,NA,NA,NA,NA,"80","Spring","3","3"
"2021",NA,"N rate timing","RSMT V17",304,"2","80 Split",48.7,19,383.3,107.5,58.8,NA,NA,NA,NA,NA,NA,NA,"80","Split","3","3"
"2021",NA,"N rate timing","RSMT V17",401,"1","80 Fall",34.1,13.9,280.4,92.9,58.8,NA,NA,NA,NA,NA,NA,NA,"80","Fall","3","4"
"2021",NA,"N rate timing","RSMT V17",402,"4","control",28.8,11.9,240,87.6,58.8,NA,NA,NA,NA,NA,NA,NA,"0","control","3","4"
"2021",NA,"N rate timing","RSMT V17",403,"3","80 Spring",52.1,16.7,336.9,110.9,58.8,NA,NA,NA,NA,NA,NA,NA,"80","Spring","3","4"
"2021",NA,"N rate timing","RSMT V17",404,"2","80 Split",33,12.4,250.1,91.8,58.8,NA,NA,NA,NA,NA,NA,NA,"80","Split","3","4"
