Location,IWG N,trt_code,April N,June N,Oct  N,Plot
Rosemount,IWG N,4,0,0,227,101
Rosemount,IWG N,5,0,0,272,102
Rosemount,IWG N,6,0,45,136,103
Rosemount,IWG N,12,227,0,0,104
Rosemount,IWG N,11,181,0,0,105
Rosemount,IWG N,17,136,136,0,106
Rosemount,IWG N,15,136,45,0,107
Rosemount,IWG N,7,0,91,136,108
Rosemount,IWG N,16,136,91,0,109
Rosemount,IWG N,3,0,0,181,110
Rosemount,IWG N,9,0,181,136,111
Rosemount,IWG N,18,136,181,0,112
Rosemount,IWG N,14,317,0,0,113
Rosemount,IWG N,8,0,136,136,114
Rosemount,IWG N,2,0,0,136,115
Rosemount,IWG N,1,0,0,0,116
Rosemount,IWG N,10,136,0,0,117
Rosemount,IWG N,13,272,0,0,118
Rosemount,IWG N,1,0,0,0,201
Rosemount,IWG N,15,136,45,0,202
Rosemount,IWG N,6,0,45,136,203
Rosemount,IWG N,12,227,0,0,204
Rosemount,IWG N,11,181,0,0,205
Rosemount,IWG N,16,136,91,0,206
Rosemount,IWG N,3,0,0,181,207
Rosemount,IWG N,13,272,0,0,208
Rosemount,IWG N,14,317,0,0,209
Rosemount,IWG N,5,0,0,272,210
Rosemount,IWG N,18,136,181,0,211
Rosemount,IWG N,7,0,91,136,212
Rosemount,IWG N,4,0,0,227,213
Rosemount,IWG N,8,0,136,136,214
Rosemount,IWG N,9,0,181,136,215
Rosemount,IWG N,2,0,0,136,216
Rosemount,IWG N,17,136,136,0,217
Rosemount,IWG N,10,136,0,0,218
Rosemount,IWG N,7,0,91,136,301
Rosemount,IWG N,11,181,0,0,302
Rosemount,IWG N,8,0,136,136,303
Rosemount,IWG N,13,272,0,0,304
Rosemount,IWG N,2,0,0,136,305
Rosemount,IWG N,16,136,91,0,306
Rosemount,IWG N,5,0,0,272,307
Rosemount,IWG N,3,0,0,181,308
Rosemount,IWG N,17,136,136,0,309
Rosemount,IWG N,14,317,0,0,310
Rosemount,IWG N,6,0,45,136,311
Rosemount,IWG N,15,136,45,0,312
Rosemount,IWG N,1,0,0,0,313
Rosemount,IWG N,4,0,0,227,314
Rosemount,IWG N,10,136,0,0,315
Rosemount,IWG N,18,136,181,0,316
Rosemount,IWG N,9,0,181,136,317
Rosemount,IWG N,12,227,0,0,318
Staples,IWG N,10,136,0,0,401
Staples,IWG N,4,0,0,227,402
Staples,IWG N,7,0,91,136,403
Staples,IWG N,16,136,91,0,404
Staples,IWG N,11,181,0,0,405
Staples,IWG N,3,0,0,181,406
Staples,IWG N,2,0,0,136,407
Staples,IWG N,1,0,0,0,408
Staples,IWG N,13,272,0,0,409
Staples,IWG N,8,0,136,136,410
Staples,IWG N,17,136,136,0,411
Staples,IWG N,18,136,181,0,412
Staples,IWG N,9,0,181,136,413
Staples,IWG N,12,227,0,0,414
Staples,IWG N,15,136,45,0,415
Staples,IWG N,14,317,0,0,416
Staples,IWG N,5,0,0,272,417
Staples,IWG N,6,0,45,136,418
Staples,IWG N,4,0,0,227,501
Staples,IWG N,8,0,136,136,502
Staples,IWG N,11,181,0,0,503
Staples,IWG N,17,136,136,0,504
Staples,IWG N,15,136,45,0,505
Staples,IWG N,10,136,0,0,506
Staples,IWG N,7,0,91,136,507
Staples,IWG N,9,0,181,136,508
Staples,IWG N,13,272,0,0,509
Staples,IWG N,14,317,0,0,510
Staples,IWG N,3,0,0,181,511
Staples,IWG N,18,136,181,0,512
Staples,IWG N,5,0,0,272,513
Staples,IWG N,6,0,45,136,514
Staples,IWG N,2,0,0,136,515
Staples,IWG N,12,227,0,0,516
Staples,IWG N,1,0,0,0,517
Staples,IWG N,16,136,91,0,518
Staples,IWG N,16,136,91,0,601
Staples,IWG N,14,317,0,0,602
Staples,IWG N,17,136,136,0,603
Staples,IWG N,5,0,0,272,604
Staples,IWG N,1,0,0,0,605
Staples,IWG N,9,0,181,136,606
Staples,IWG N,11,181,0,0,607
Staples,IWG N,13,272,0,0,608
Staples,IWG N,12,227,0,0,609
Staples,IWG N,3,0,0,181,610
Staples,IWG N,7,0,91,136,611
Staples,IWG N,4,0,0,227,612
Staples,IWG N,2,0,0,136,613
Staples,IWG N,8,0,136,136,614
Staples,IWG N,6,0,45,136,615
Staples,IWG N,15,136,45,0,616
Staples,IWG N,10,136,0,0,617
Staples,IWG N,18,136,181,0,618
